3,2,1,lili712 (7年級韭菜),[問卦] 驚！韓國猛男秀台灣場男生可以去？,Fri Sep  8 22:15:48 2023
11,5,6,ppp123 (3p哥),[問卦] 為什麼不就近跟中國買蛋？,Sat Sep  9 07:37:35 2023
11,6,5,zephyr105 (跳跳),[新聞] 林襄再挑戰新妝髮！「眼窩發青」,Sat Sep  9 04:44:00 2023
4,1,3,GonVolcano (火山君),[問卦] 大谷該去水手隊了吧,Fri Sep  8 22:39:55 2023
3,0,3,brucetu (sec),[問卦] 小時候用過學校飲水機的進來,Fri Sep  8 21:52:12 2023
22,18,4,chun0303 (chun),[新聞] 美麗島民調：侯友宜超車柯文哲差距拉大 ,Sat Sep  9 00:00:21 2023
3,9,-6,nobody0303 (),[問卦] 沒人發現台灣是個對人相當冷漠的國家嗎！,Sat Sep  9 01:20:45 2023
3,0,3,silencepap (p  p),Re,Fri Sep  8 23:36:30 2023
5,0,5,asd245438 (不要問，一切都是幻影~),[新聞] 西村彗星將現蹤 錯過再等300年,Fri Sep  8 22:47:20 2023
3,0,3,fenway18 (軟弱 是沒有辦法贏回國家),[新聞] 俄國非法徵兵徵到古巴去! 17人被捕 古巴 ,Fri Sep  8 22:44:27 2023
21,4,17,q1qaz2 (),[問卦] 台北腹地比高雄屏東小7倍確塞了700萬人？,Fri Sep  8 23:00:53 2023
13,1,12,kinve1014 (黑松可樂),[問卦] 趁亂po個伊織萌奶圖?,Fri Sep  8 22:51:56 2023
4,0,4,keyj (裝羊),Re,Fri Sep  8 22:24:07 2023
8,2,6,ffdqfe (苦惱),[問卦] 新switch會不會吹太大？,Sat Sep  9 05:59:15 2023
5,2,3,glenex (薄薄),[問卦] 籃球世界盃是不是有點冷啊,Sat Sep  9 01:52:12 2023
1,0,1,toofat (南勢角野郎哥),Re,Fri Sep  8 22:40:55 2023
2,2,0,trylin (電鈴怪客),[問卦] 薪水調的比基本工資少怎麼調適心情？,Fri Sep  8 23:52:44 2023
2,0,2,yamahabbs (老ㄟ),[問卦] 住菜寮的人房子都是農舍嗎,Sat Sep  9 08:38:08 2023
10,1,9,Galette (嘉莉朵),[問卦] 開彩票行賺嗎？〓〓,Fri Sep  8 21:25:43 2023
7,0,7,lycs0908 (岳岳),[問卦] 變頻冷氣一整天都不關也很省電嗎?,Fri Sep  8 22:43:46 2023
48,9,39,zoeapezoo (),[新聞] 審計查核 桃園音樂劇場 全年收入僅13萬 ,Fri Sep  8 22:12:26 2023
0,0,0,Kimmy (Kimi),[問卦] 鹵鵝頭真的那麼好吃嗎？,Sat Sep  9 09:00:41 2023
2,0,2,jp6vu04boy (客家肥肥),[問卦] 歐巴桑做壞事都會有什麼動作？,Sat Sep  9 08:50:41 2023
4,2,2,nobody0303 (),[問卦] 沒人發現台灣很多事都是直接被拍板定案！,Sat Sep  9 01:59:47 2023
3,1,2,todao (心裡有數),[問卦] 你把我灌醉 你讓我流淚,Sat Sep  9 01:58:13 2023
7,2,5,NARUTO (鳴人),Re,Fri Sep  8 23:48:29 2023
5,0,5,abcd5566 (我是綠粉),[問卦] 時薪漲到183便利商店跟麥當勞會漲多少,Sat Sep  9 00:08:09 2023
0,1,-1,Goodinfo (Goodinfo),Re,Fri Sep  8 21:37:46 2023
6,0,6,akuan413 (...),[問卦] 台灣的颱風 地震 無良建商 那個恐怖？,Fri Sep  8 22:28:29 2023
5,0,5,godofsex (性愛戰神),[新聞] 無印良品失竊3100件商品才發現 夫妻雙賊,Sat Sep  9 08:49:59 2023
18,8,10,joshchen (拍我的想法),[新聞] 漏報建商老公資產 施淑婷：不清楚配偶要,Fri Sep  8 23:58:56 2023
3,0,3,edieedie (辭小鬼),Re,Fri Sep  8 21:12:40 2023
43,26,17,rick102233 (),[問卦] 中天：華為賣這麼好，iPhone15不用賣了,Sat Sep  9 01:23:00 2023
5,5,0,iphone55566 (哀鳳五),[新聞] 2024大選／侯友宜拋徵富人稅政見 調漲基,Sat Sep  9 08:31:45 2023
4,3,1,hittler (西斯特),Re,Sat Sep  9 05:46:39 2023
9,4,5,zhuilou ( ),[問卦]新加坡健達繽紛樂才賣25台幣 台灣盤子?,Fri Sep  8 21:18:52 2023
0,0,0,freedomnavy (心情書生),[問卦] 各位肥宅，你懷念沒有line 的日子嗎？,Fri Sep  8 22:49:33 2023
1,1,0,Imotucc (建築師巴布),[問卦] 淦台灣診麼這麼貴,Sat Sep  9 01:02:18 2023
1,2,-1,pchunters (齁齁齁),[新聞] 她嘆剛上大學「交不到朋友怎麼辦」？網,Fri Sep  8 21:36:20 2023
26,1,25,KINMENKING (亂世狂刀),[新聞] 美國商務部：正在取得華為新機陸製7奈米,Fri Sep  8 21:03:10 2023
2,0,2,assassinASHE (幹古專用帳號),[問卦] 弄壞別人安全帽要賠多少??,Sat Sep  9 05:59:09 2023
6,5,1,zhuilou ( ),[問卦] 台灣廢物租屋仔怎麼這麼多?,Sat Sep  9 00:12:09 2023
8,0,8,shiaubai (曹吉邁),[新聞] 朱邀柯喝咖啡被邊緣化？郭台銘：我只跟,Sat Sep  9 00:00:16 2023
11,1,10,BlueBird5566 (賴粉意見領袖),Re,Fri Sep  8 23:58:07 2023
1,0,1,yoshilin (多點知士少點騎士),Re,Fri Sep  8 21:43:47 2023
83,40,43,nightwing (夏日浮雲),[新聞] 賴清德萬里老家事件 立委賴品妤批侯友宜,Sat Sep  9 03:10:55 2023
5,1,4,HNCB2880 (淺淺的微笑就像烏梅子醬),[問卦] 博人傳是不是要燃起來了？,Sat Sep  9 06:18:15 2023
30,10,20,lwt501cx (爆裂魔法Explosion！！),[公告] 八卦板板規修訂案於GossipPicket討論,Tue Sep  5 18:30:30 2023
0,1,-1,k99t (聖誕小雞),[問卦] 有沒有偏門賺錢法 一般人從那賺的八卦？,Fri Sep  8 21:33:43 2023
1,2,-1,sixkeeper (烏毛洗螻蟻),Re,Fri Sep  8 21:56:31 2023
124,0,124,huabandd (我是阿肥巴你頭),Re,Fri Sep  8 23:58:44 2023
0,0,0,lelena (太陽神-RA),"[問卦] 建商蓋這麼多2房,這樣生兩個小孩怎麼辦?",Sat Sep  9 08:58:36 2023
6,1,5,dansy (Eye Taiwan),Re,Sat Sep  9 01:12:12 2023
